,productType,year,profit
580,재간접,2022,-117.52
581,재간접,2022,-16.47
582,주식형,2022,-29.94
583,재간접,2022,-15.07
584,혼합주식형,2022,-20.46
585,주식형,2022,-18.54
586,주식형,2022,-45.08
587,재간접,2022,-27.21
588,주식형,2022,-4.89
589,주식형,2022,-34.67
590,재간접,2022,-19.01
591,재간접,2022,-18.2
592,혼합채권형,2022,-19.07
593,부동산,2022,-6.7
594,재간접,2022,-18.05
595,주식형,2022,-38.65
596,주식형,2022,-40.57
597,주식형,2022,-46.88
598,재간접,2022,-29.7
599,주식형,2022,-30.14
600,재간접,2022,-32.1
601,재간접,2022,-10.31
602,주식형,2022,-39.72
603,주식형,2022,-46.92
604,재간접,2022,-18.1
605,주식형,2022,-33.94
606,주식형,2022,-7.91
607,혼합채권형,2022,-11.08
608,재간접,2022,-17.38
609,주식형,2022,-4.19
610,파생상품,2022,-31.44
611,주식형,2022,-18.13
612,부동산,2022,-25.9
613,재간접,2022,-83.55
614,재간접,2022,-7.46
615,파생상품,2022,-27.27
616,재간접,2022,-8.55
617,주식형,2022,22.96
618,파생상품,2022,-22.23
619,채권형,2022,-4.74
620,채권형,2022,-10.81
621,재간접,2022,-48.47
622,재간접,2022,-19.93
623,재간접,2022,-23.97
624,혼합채권형,2022,-8.63
625,재간접,2022,-21.32
626,주식형,2022,-45.22
627,재간접,2022,-27.58
628,혼합주식형,2022,-24.98
629,채권형,2022,-11.59
630,재간접,2022,3.62
631,혼합채권형,2022,-2.22
632,혼합채권형,2022,-14.1
633,혼합채권형,2022,-2.83
634,주식형,2022,-46.4
635,재간접,2022,-43.55
636,혼합주식형,2022,-24.8
637,주식형,2022,-37.1
638,혼합채권형,2022,-15.98
639,채권형,2022,-10.39
640,재간접,2022,-2.17
641,혼합채권형,2022,-0.13
642,재간접,2022,-3.25
643,혼합채권형,2022,-12.38
644,단기금융,2022,1.61
645,주식형,2022,-38.12
646,혼합채권형,2022,-0.88
647,혼합주식형,2022,-18.1
648,재간접,2022,-28.8
649,주식형,2022,-16.03
650,재간접,2022,-14.65
651,재간접,2022,-22.67
652,재간접,2022,2.33
653,재간접,2022,-1.13
654,주식형,2022,-76.73
655,혼합채권형,2022,-19.0
656,주식형,2022,-20.16
657,주식형,2022,-37.47
658,주식형,2022,33.11
659,재간접,2022,-21.55
660,주식형,2022,-32.68
661,재간접,2022,-28.32
662,재간접,2022,-25.79
663,재간접,2022,-16.79
664,파생상품,2022,-13.1
665,재간접,2022,-7.02
